Word;Indices;GP sum;GP sum red header;Plaintext minus ciphertext;Plaintext plus ciphertext;Ciphertext_minus_plaintext
Babinski;[17, 24, 17, 10, 9, 15, 5, 10];376;473;[27, 3, 23, 12, 7, 1, 24, 20];[7, 16, 11, 8, 11, 0, 15, 0];[2, 26, 6, 17, 22, 28, 5, 9]
Badlands;[17, 24, 23, 20, 24, 9, 23, 15];588;685;[27, 3, 0, 22, 22, 24, 13, 25];[7, 16, 17, 18, 26, 23, 4, 5];[2, 26, 0, 7, 7, 5, 16, 4]
Bahraini;[17, 24, 8, 4, 24, 10, 9, 10];380;477;[27, 3, 14, 6, 22, 25, 28, 20];[7, 16, 2, 2, 26, 24, 19, 0];[2, 26, 15, 23, 7, 4, 1, 9]
Bahreini;[17, 24, 8, 4, 18, 10, 9, 10];350;447;[27, 3, 14, 6, 16, 25, 28, 20];[7, 16, 2, 2, 20, 24, 19, 0];[2, 26, 15, 23, 13, 4, 1, 9]
Bakelite;[17, 24, 5, 18, 20, 10, 16, 18];468;565;[27, 3, 11, 20, 18, 25, 6, 28];[7, 16, 28, 16, 22, 24, 26, 8];[2, 26, 18, 9, 11, 4, 23, 1]
Balarama;[17, 24, 20, 24, 4, 24, 19, 24];604;701;[27, 3, 26, 26, 2, 10, 9, 5];[7, 16, 14, 22, 6, 9, 0, 14];[2, 26, 3, 3, 27, 19, 20, 24]
Balinese;[17, 24, 20, 10, 9, 18, 15, 18];478;575;[27, 3, 26, 12, 7, 4, 5, 28];[7, 16, 14, 8, 11, 3, 25, 8];[2, 26, 3, 17, 22, 25, 24, 1]
Balistes;[17, 24, 20, 10, 15, 16, 18, 15];494;591;[27, 3, 26, 12, 13, 2, 8, 25];[7, 16, 14, 8, 17, 1, 28, 5];[2, 26, 3, 17, 16, 27, 21, 4]
Balmoral;[17, 24, 20, 19, 3, 4, 24, 20];490;587;[27, 3, 26, 21, 1, 19, 14, 1];[7, 16, 14, 17, 5, 18, 5, 10];[2, 26, 3, 8, 28, 10, 15, 28]
Balthasar;[17, 24, 20, 2, 24, 15, 24, 4];494;591;[27, 3, 26, 4, 22, 1, 14, 14];[7, 16, 14, 0, 26, 0, 5, 23];[2, 26, 3, 25, 7, 28, 15, 15]
Balthazar;[17, 24, 20, 2, 24, 15, 24, 4];494;591;[27, 3, 26, 4, 22, 1, 14, 14];[7, 16, 14, 0, 26, 0, 5, 23];[2, 26, 3, 25, 7, 28, 15, 15]
Bambuseae;[17, 24, 19, 17, 1, 15, 28, 18];522;619;[27, 3, 25, 19, 28, 1, 18, 28];[7, 16, 13, 15, 3, 0, 9, 8];[2, 26, 4, 10, 1, 28, 11, 1]
Bangalore;[17, 24, 21, 24, 20, 3, 4, 18];492;589;[27, 3, 27, 26, 18, 18, 23, 28];[7, 16, 15, 22, 22, 17, 14, 8];[2, 26, 2, 3, 11, 11, 6, 1]
Baptisia;[17, 24, 13, 16, 10, 15, 10, 24];472;569;[27, 3, 19, 18, 8, 1, 0, 5];[7, 16, 7, 14, 12, 0, 20, 14];[2, 26, 10, 11, 21, 28, 0, 24]
Baptists;[17, 24, 13, 16, 10, 15, 16, 15];456;553;[27, 3, 19, 18, 8, 1, 6, 25];[7, 16, 7, 14, 12, 0, 26, 5];[2, 26, 10, 11, 21, 28, 23, 4]
Barbadian;[17, 24, 4, 17, 24, 23, 27, 9];552;649;[27, 3, 10, 19, 22, 9, 17, 19];[7, 16, 27, 15, 26, 8, 8, 28];[2, 26, 19, 10, 7, 20, 12, 10]
