Word	Indices	GP sum	GP sum red header	Plaintext minus ciphertext	Plaintext plus ciphertext	Ciphertext_minus_plaintext
gloxinia	[6, 20, 3, 14, 10, 9, 10, 24]	332	429	[16, 28, 9, 16, 8, 24, 0, 5]	[25, 12, 26, 12, 12, 23, 20, 14]	[13, 1, 20, 13, 21, 5, 0, 24]
glucagon	[6, 20, 1, 5, 24, 6, 3, 9]	256	353	[16, 28, 7, 7, 22, 21, 22, 19]	[25, 12, 24, 3, 26, 20, 13, 28]	[13, 1, 22, 22, 7, 8, 7, 10]
gluiness	[6, 20, 1, 10, 9, 18, 15, 15]	326	423	[16, 28, 7, 12, 7, 4, 5, 25]	[25, 12, 24, 8, 11, 3, 25, 5]	[13, 1, 22, 17, 22, 25, 24, 4]
glumness	[6, 20, 1, 19, 9, 18, 15, 15]	366	463	[16, 28, 7, 21, 7, 4, 5, 25]	[25, 12, 24, 17, 11, 3, 25, 5]	[13, 1, 22, 8, 22, 25, 24, 4]
glutelin	[6, 20, 1, 16, 18, 20, 10, 9]	352	449	[16, 28, 7, 18, 16, 6, 0, 19]	[25, 12, 24, 14, 20, 5, 20, 28]	[13, 1, 22, 11, 13, 23, 0, 10]
gluttony	[6, 20, 1, 16, 16, 3, 9, 26]	350	447	[16, 28, 7, 18, 14, 18, 28, 7]	[25, 12, 24, 14, 18, 17, 19, 16]	[13, 1, 22, 11, 15, 11, 1, 22]
glycerin	[6, 20, 26, 5, 18, 4, 10, 9]	344	441	[16, 28, 3, 7, 16, 19, 0, 19]	[25, 12, 20, 3, 20, 18, 20, 28]	[13, 1, 26, 22, 13, 10, 0, 10]
glycerol	[6, 20, 26, 5, 18, 4, 3, 20]	364	461	[16, 28, 3, 7, 16, 19, 22, 1]	[25, 12, 20, 3, 20, 18, 13, 10]	[13, 1, 26, 22, 13, 10, 7, 28]
glyceryl	[6, 20, 26, 5, 18, 4, 26, 20]	460	557	[16, 28, 3, 7, 16, 19, 16, 1]	[25, 12, 20, 3, 20, 18, 7, 10]	[13, 1, 26, 22, 13, 10, 13, 28]
glycogen	[6, 20, 26, 5, 3, 6, 18, 9]	326	423	[16, 28, 3, 7, 1, 21, 8, 19]	[25, 12, 20, 3, 5, 20, 28, 28]	[13, 1, 26, 22, 28, 8, 21, 10]
glyptics	[6, 20, 26, 13, 16, 10, 5, 15]	392	489	[16, 28, 3, 15, 14, 25, 24, 25]	[25, 12, 20, 11, 18, 24, 15, 5]	[13, 1, 26, 14, 15, 4, 5, 4]
gnathopod	[6, 9, 24, 2, 3, 13, 3, 23]	294	391	[16, 17, 1, 4, 1, 28, 22, 4]	[25, 1, 18, 0, 5, 27, 13, 13]	[13, 12, 28, 25, 28, 1, 7, 25]
goalpost	[6, 3, 24, 20, 13, 3, 15, 16]	356	453	[16, 11, 1, 22, 11, 18, 5, 26]	[25, 24, 18, 18, 15, 17, 25, 6]	[13, 18, 28, 7, 18, 11, 24, 3]
goatfish	[6, 3, 24, 16, 0, 10, 15, 8]	289	386	[16, 11, 1, 18, 27, 25, 5, 18]	[25, 24, 18, 14, 2, 24, 25, 27]	[13, 18, 28, 11, 2, 4, 24, 11]
goatskin	[6, 3, 24, 16, 15, 5, 10, 9]	306	403	[16, 11, 1, 18, 13, 20, 0, 19]	[25, 24, 18, 14, 17, 19, 20, 28]	[13, 18, 28, 11, 16, 9, 0, 10]
godchild	[6, 3, 23, 5, 8, 10, 20, 23]	342	439	[16, 11, 0, 7, 6, 25, 10, 4]	[25, 24, 17, 3, 10, 24, 1, 13]	[13, 18, 0, 22, 23, 4, 19, 25]
godfather	[6, 3, 23, 0, 24, 2, 18, 4]	295	392	[16, 11, 0, 2, 22, 17, 8, 14]	[25, 24, 17, 27, 26, 16, 28, 23]	[13, 18, 0, 27, 7, 12, 21, 15]
godmother	[6, 3, 23, 19, 3, 2, 18, 4]	274	371	[16, 11, 0, 21, 1, 17, 8, 14]	[25, 24, 17, 17, 5, 16, 28, 23]	[13, 18, 0, 8, 28, 12, 21, 15]
goldfish	[6, 3, 20, 23, 0, 10, 15, 8]	295	392	[16, 11, 26, 25, 27, 25, 5, 18]	[25, 24, 14, 21, 2, 24, 25, 27]	[13, 18, 3, 4, 2, 4, 24, 11]
goldmine	[6, 3, 20, 23, 19, 10, 9, 18]	384	481	[16, 11, 26, 25, 17, 25, 28, 28]	[25, 24, 14, 21, 21, 24, 19, 8]	[13, 18, 3, 4, 12, 4, 1, 1]
goldthread	[6, 3, 20, 23, 2, 4, 28, 23]	400	497	[16, 11, 26, 25, 0, 19, 18, 4]	[25, 24, 14, 21, 4, 18, 9, 13]	[13, 18, 3, 4, 0, 10, 11, 25]
golfcart	[6, 3, 20, 0, 5, 24, 4, 16]	279	376	[16, 11, 26, 2, 3, 10, 23, 26]	[25, 24, 14, 27, 7, 9, 14, 6]	[13, 18, 3, 27, 26, 19, 6, 3]
golfclub	[6, 3, 20, 0, 5, 20, 1, 17]	249	346	[16, 11, 26, 2, 3, 6, 20, 27]	[25, 24, 14, 27, 7, 5, 11, 7]	[13, 18, 3, 27, 26, 23, 9, 2]
golliwog	[6, 3, 20, 20, 10, 7, 3, 6]	244	341	[16, 11, 26, 22, 8, 22, 22, 16]	[25, 24, 14, 18, 12, 21, 13, 25]	[13, 18, 3, 7, 21, 7, 7, 13]
goodness	[6, 3, 3, 23, 9, 18, 15, 15]	322	419	[16, 11, 9, 25, 7, 4, 5, 25]	[25, 24, 26, 21, 11, 3, 25, 5]	[13, 18, 20, 4, 22, 25, 24, 4]
goodwill	[6, 3, 3, 23, 7, 10, 20, 20]	316	413	[16, 11, 9, 25, 5, 25, 10, 1]	[25, 24, 26, 21, 9, 24, 1, 10]	[13, 18, 20, 4, 24, 4, 19, 28]
goofball	[6, 3, 3, 0, 17, 24, 20, 20]	337	434	[16, 11, 9, 2, 15, 10, 10, 1]	[25, 24, 26, 27, 19, 9, 1, 10]	[13, 18, 20, 27, 14, 19, 19, 28]
gorgerin	[6, 3, 4, 6, 18, 4, 10, 9]	190	287	[16, 11, 10, 8, 16, 19, 0, 19]	[25, 24, 27, 4, 20, 18, 20, 28]	[13, 18, 19, 21, 13, 10, 0, 10]
